反照率 Albedo
G轮胎堆叠03碎片06 GTireStack03Debris06
Inactive Inactive
最小点渐缩 MinPointTaper
L爪3 LClaw3
天线02 Antenna02
附加炮塔Seg2Rgt1 AttachTurretSeg2Rgt1
MRockBalancing01 MRockBalancing01
G半机械人管线结束LOD3 GCyborgPipelineEndLod3
GSarcophagusLod5 GSarcophagusLod5
G弹药箱01 GAmmobox01
G屏幕LOD2 GScreenLod2
G标志手雷虫族LOD5 GSignGrenadeBugLod5
V1 V1
绘制手雷 DrawGrenade
G着陆区域信标 GLandingzoneBeacon
G旗帜架 GFlagRack
尾部04 Tail04
G日志中型01LOD3 GLogMedium01Lod3
G通用碎片大型03LOD1 GGenericDebrisLarge03Lod1
G超级地面缓存LOD1 GSuperEarthCacheLod1
征召兵轻机枪 ConscriptLmg
GBeltFedGrenadeLauncherBackpackShadowLod3 GBeltFedGrenadeLauncherBackpackShadowLod3
GCentralCoreHolePlug01Lod5 GCentralCoreHolePlug01Lod5
聚光灯可见性乘数 SpotLightVisibilityMultiplier
G手雷箱可发现01阴影LOD2 GGrenadeBoxDiscoverable01ShadowLod2
Habs天线屋顶01 HabsAntennaRoof01
特效左火箭 FxLeftRocket
GCy箱012堆叠LOD3 GCyCrate012stackLod3
特效锁下部 FxLockLower
GFrv机枪LOD4 GFrvMgLod4
G门LOD3 GDoorLod3
G容器06阴影LOD2 GContainer06ShadowLod2
武器瞄准 WeaponAim
G喷气步枪LOD3 GJetRifleLod3
GrpHeadLocalOrientation GrpHeadLocalOrientation
GSe墙高LOD1 GSeWallTallLod1
GJerrycan01ShadowLod1 GJerrycan01ShadowLod1
旋转器已摧毁 RotatorDestroyed
L钳制63 LClamp63
C天气叶片高05 CWeatherVaneTall05
边缘遮罩最大V EdgeMaskMaxV
GHabs箱大型012堆叠碎片01 GHabsCrateLarge012stackDebris01
G半机械人投放舰已摧毁引擎01LOD3 GCyborgDropshipDestroyedEngine01Lod3
Faf导弹标准 FafMissileStandard
亮度指数02 LuminocityExp02
后 Back
G超级地面缓存翼LLOD2 GSuperEarthCacheWingLLod2
GCy携带数据LOD5 GCyCarryDataLod5
GBridgeGalaxyTable01Shadow GBridgeGalaxyTable01Shadow
C移动34 CMovement34
G飞机18 GPlane18
G岩石小型01LOD3 GRockSmall01Lod3
GIl炮塔01废墟碎石阴影LOD2 GIlTurret01RubbleShadowLod2
G箱大型空01阴影 GCrateBigEmpty01Shadow
GHandAxeShadow GHandAxeShadow
Downed Downed
弹药07 Ammo07
G箱体033x3阴影LOD1 GCase033x3ShadowLod1
G超级地面缓存翼R GSuperEarthCacheWingR
BlueCorpToolRack01 BlueCorpToolRack01
C通用碎片中型02 CGenericDebrisMedium02
C右手臂1 CRightArm1
布娃娃膝盖上部R RagdollKneeUpperR
R大腿抖动 RThighJiggle
脊柱1 Spine1
G气体投影器LOD2 GGasProjectorLod2
G沙质岩石酸巨型01阴影 GSandyRockAcidMassive01Shadow
G荒原松树03碎肉23 GMoorPinetree03Gibs23
Reset Reset
GCy电缆组01阴影LOD1 GCyCableSet01ShadowLod1
G城市车辆废墟碎石01LOD1 GCityCarRubble01Lod1
G光学高幂瞄准镜阴影 GOpticsHighpowerScopeShadow
GHabsPlatformStaris01Lod5 GHabsPlatformStaris01Lod5
GIl废墟碎石小型02阴影 GIlRubbleSmall02Shadow
GHabs箱中型01LOD3 GHabsCrateMedium01Lod3
G城市车辆01阴影LOD2 GCityCar01ShadowLod2
G脚手架坡道01LOD5 GScaffoldingRamp01Lod5
G智能手枪阴影LOD3 GSmartPistolShadowLod3
GCy电池空01阴影LOD2 GCyBatteryEmpty01ShadowLod2
RHindlegShoulderCull RHindlegShoulderCull
G平台阴影LOD2 GPlatformShadowLod2
L头部0123关节 LHead0123Jnt
GCy箱011x2LOD2 GCyCrate011x2Lod2
Scream Scream
G极地岩石通用废墟碎石02LOD5 GArcticRockGenericRubble02Lod5
门01 Door01
G管线结束 GPipelineEnd
手柄 Handle
Cy战壕墙3mX2 CyTrenchWall3mX2
G腿R套件阴影 GLegRKitShadow
HabsPlantationboxFloor2m01 HabsPlantationboxFloor2m01
G鹰式 GEagle
G碎片08阴影 GDebris08Shadow
G箱05LOD4 GBox05Lod4
动作战斗嘲讽 ActionCombatTaunt
G发射器阴影LOD2 GLauncherShadowLod2
G生成器灯01LOD5 GGeneratorLamp01Lod5
G着陆区域信标阴影LOD1 GLandingzoneBeaconShadowLod1
手柄左 HandleLeft
G天气叶片高01碎片08 GWeatherVaneTall01Debris08
L炮塔俯仰02 LTurretPitch02
C天气叶片高09 CWeatherVaneTall09
C损伤区域02 CDamageZone02
ReloadBattlerifleCeremonialFast ReloadBattlerifleCeremonialFast
舌头R6 TongueR6
Swimming Swimming
通用碎片中型02 GenericDebrisMedium02
FlightLocomotion FlightLocomotion
GIas受损阴影LOD1 GIasDamagedShadowLod1
C窗中部 CWindowMiddle
G通用碎片小型01阴影LOD1 GGenericDebrisSmall01ShadowLod1
破坏体积1 DestructionVolume1
G通用目标终端01 GGenericObjectiveTerminal01
G虫族羊肚菌集群01LOD5 GBugMorelCluster01Lod5
舌头L12 TongueL12
TaskDone TaskDone
游戏 Game
首领后 BossBack
BugCorpseStriderBody BugCorpseStriderBody
C箱体033x3 CCase033x3
G岩石小型01LOD2 GRockSmall01Lod2
RBackEngineHeatSink4 RBackEngineHeatSink4
胡须42 Beard42
通用碎片小型07 GenericDebrisSmall07
G岩石大型04LOD5 GRockLarge04Lod5
DrawLmgstalwart DrawLmgstalwart
材质6迷彩 Material6Camo
GAutomatedArtilleryLod1 GAutomatedArtilleryLod1
GHabs箱啤酒小型01碎片01 GHabsCrateBeerSmall01Debris01
MHarness MHarness
CentrifugePipe6 CentrifugePipe6
GSe链式围栏墙一半 GSeChainfenceWallHalf
GIl电缆001LOD4 GIlCables001Lod4
G冰墙06 GIceWall06
G殖民地墙分段12m受损LOD1 GColonyWallSegment12mDamagedLod1
L钳制21 LClamp21
G垃圾桶01阴影 GTrashbin01Shadow
M躯干装甲 MTorsoArmor
ClimbOnto ClimbOnto
G日志大型02LOD5 GLogLarge02Lod5
G轮胎堆叠05碎片08 GTireStack05Debris08
G虫族岩石平面01LOD3 GBugRockFlat01Lod3
殖民地电视02 ColonyTv02
Shutter5 Shutter5
G骨骼生物04阴影LOD1 GBoneCreature04ShadowLod1
M殖民地标志01 MColonySign01
G巨大日志01阴影LOD1 GHugeLog01ShadowLod1
布娃娃死亡 RagdollDeath
GMechanicalBugholeShadowLod1 GMechanicalBugholeShadowLod1
G殖民地太阳面板LOD5 GColonySolarPanelLod5
SniperRifleHelghastMagazine SniperRifleHelghastMagazine
C废墟碎石碰撞24 CRubbleCollision24
G补给容器01LOD5 GSupplyContainer01Lod5
C生成器02 CGenerator02
R头部0113关节 RHead0113Jnt
G瞄准镜阴影LOD1 GScopeShadowLod1
G地狱舱LOD1 GHellpodLod1
G能量左轮 GEnergyRevolver
GHabs通风墙08阴影LOD2 GHabsVentilationWall08ShadowLod2
雾高度 FogHeight
G岩石悬崖面部01LOD2 GRockCliffFace01Lod2
GCyborgTankTurretAutocannonsDestroyed01Lod1 GCyborgTankTurretAutocannonsDestroyed01Lod1
GImpalerShadow GImpalerShadow
G荒原松树02碎肉13 GMoorPinetree02Gibs13
M机场桌子02 MAirportTable02
Il生成器废墟碎石LOD1 IlSpawnerRubbleLod1
G废墟碎石切片01 GRubbleSlice01
Chunk03 Chunk03
G前盖1LOD2 GFrontLid1Lod2
G机库箱大型01LOD3 GHangarCrateLarge01Lod3
BugRockCliffFace01 BugRockCliffFace01
G骨骼生物07阴影 GBoneCreature07Shadow
G森林树01碎肉10 GForestTree01Gibs10
G能量左轮LOD3 GEnergyRevolverLod3
G树巢01LOD5 GTreeNest01Lod5
G地狱舱优化已着陆LOD2 GHellpodOptimizedLandedLod2
GAutomatedArtilleryLod2 GAutomatedArtilleryLod2
Covers Covers
ShotgunDoublebarrel ShotgunDoublebarrel
后方引擎护盾 RearEngineShield
通用碎片小型03 GenericDebrisSmall03
GIl电缆005阴影LOD1 GIlCables005ShadowLod1
GPlantSample01Lod3 GPlantSample01Lod3
G水容器01碎片07 GWaterContainer01Debris07
G阴影切片04 GShadowSlice04
核心旋转器内部 CoreRotatorInner
R腿1剔除 RLeg1Cull
GSeafShellMiniNukeLod1 GSeafShellMiniNukeLod1
M自发光 MEmissive
GBugPrisonWallStraightGateLod3 GBugPrisonWallStraightGateLod3
征召兵尸体02 ConscriptCorpse02
WeldStanding WeldStanding
箱05 Box05
Habs地面板01 HabsGroundplate01
G弹药箱01阴影LOD2 GAmmoBox01ShadowLod2
头部瞄准 HeadAim
G孢子光照02阴影 GSporeLight02Shadow
G根部大型02LOD4 GRootLarge02Lod4
G沼泽英雄树大型阴影LOD2 GSwampHeroTreeLargeShadowLod2
G虫族容器阴影 GBugContainerShadow
GRootSystem02Lod5 GRootSystem02Lod5
舌头L3 TongueL3
Nails Nails
C偏航圆柱 CYawCylinder
交互循环 InteractLoop
G身体下部阴影LOD3 GBodyLowerShadowLod3
DebugDeathClassic DebugDeathClassic
GIl电池机器堆01LOD5 GIlBatteryMachinePile01Lod5
G岩石大型05LOD1 GRockLarge05Lod1
G游戏网格切片01 GGameMeshSlice01
GCy电池空4x GCyBatteryEmpty4x
抖动21 Jiggle21
胡须101 Beard101
G枪口阴影 GMuzzleShadow
LfWing LfWing
导弹02 Missile02
G虫族巢穴墙大型LOD2 GBugHiveWallLargeLod2
FrontLeftWheelFine FrontLeftWheelFine
弹药钳制02 AmmoClamp02
G废墟掩体直线2m04阴影LOD2 GRuinCoverStraight2m04ShadowLod2
OpticsIronsight OpticsIronsight
FlagOut FlagOut
GGrenadeLauncherTacticalShadowLod3 GGrenadeLauncherTacticalShadowLod3
L下部索引手指2 LLowerIndexFinger2
特大管道连接 XlPipeConnection
G岩石废墟碎石04LOD1 GRockRubble04Lod1
G通用碎片小型04 GGenericDebrisSmall04
G树巢集群03LOD2 GTreeNestCluster03Lod2
碎片013 Debris013
L头部094关节 LHead094Jnt
地狱潜兵生成 HelldiverSpawn
C子弹2 CBullet2
GSe管线直线4x阴影 GSePipelineStraight4xShadow
G额外火箭阴影LOD3 GExtraRocketsShadowLod3
G殖民地电缆20mA阴影 GColonyCable20mAShadow
G根部墙01阴影 GRootWall01Shadow
CutsceneDestroyerDeparture CutsceneDestroyerDeparture
仅边缘乘数 OnlyEdgeMult
GSignMaintainSafeDistanceLod3 GSignMaintainSafeDistanceLod3
AngledGripAdvanced AngledGripAdvanced
SpacebattleBattle01 SpacebattleBattle01
G荒原松树03碎肉24 GMoorPinetree03Gibs24
R钳制11 RClamp11
G软管LOD1 GHoseLod1
G垃圾桶02 GTrashbin02
G战争头部阴影LOD3 GWarheadShadowLod3
G螺栓动作步枪阴影LOD1 GBoltActionRifleShadowLod1
L后方腿1剔除 LRearLeg1Cull
G殖民地墙柱01LOD2 GColonyWallPillar01Lod2
TowerActivate TowerActivate
G沙质圆形岩石中型02阴影 GSandyRoundRockMedium02Shadow
G殖民地建筑小型03阴影LOD2 GColonyBuildingSmall03ShadowLod2
GHabs通风屋顶08阴影LOD2 GHabsVentilationRoof08ShadowLod2
征召兵炮 ConscriptCannon
G森林山02LOD4 GForestMountain02Lod4
灯光关闭 LightsOff
膝盖下部R KneeLowerR
A手指03 AFinger03
G弹匣LOD1 GMagLod1
G箱02阴影 GBox02Shadow
GHabs墙天气结束02LOD5 GHabsWallWeatherEnd02Lod5
CyborgCommandBunkerTop CyborgCommandBunkerTop
DrownProgress DrownProgress
内部椭圆遮罩切换 InnerEllipseMaskToggle
R弹药01 RAmmo01
瞄准镜 Scope
G战争头部LOD1 GWarheadLod1
G森林树03碎肉02 GForestTree03Gibs02
L脚剔除 LFootCull
光照09 Light09
墓碑03 Headstone03
Immobilized Immobilized
G黑藏红花样本基础01LOD2 GBlacksaffronSampleBase01Lod2
GColonyDumpster01 GColonyDumpster01
高1 High1
LeftMirror LeftMirror
火箭10 Rocket10
G地狱潜兵雕像01LOD2 GHelldiverStatue01Lod2
G骨骼生物08LOD2 GBoneCreature08Lod2
G轮胎堆叠06碎片06 GTireStack06Debris06
地狱舱盖 HellpodLid
G巢穴领主端部件阴影LOD1 GHiveLordEndpieceShadowLod1
GCy木桶1x2LOD1 GCyBarrels1x2Lod1
G游戏 GGame
脊柱下部5 SpineLower5
C碰撞03金属度5 CCollision03Metal5
DeadHead DeadHead
枪管R01Se目标02 BarrelR01SeDest02
GIl炮塔01阴影LOD3 GIlTurret01ShadowLod3
G洪水光照02LOD1 GFloodLight02Lod1
G殖民地摄像机杆LOD4 GColonyCameraPoleLod4
GSe殖民地路缘直线2450MLOD1 GSeColonyCurbStraight2450MLod1
GLieutentantCorpse01 GLieutentantCorpse01
G城市车辆废墟碎石07LOD1 GCityCarRubble07Lod1
M通信塔自发光 MCommunicationTowerEmissive
沙质通用岩石小型06 SandyGenericRockSmall06
G子弹 GBullet
G殖民地虫族生成器01LOD2 GColonyBugSpawner01Lod2
TearAmount27b707963527012cd TearAmount27b707963527012cd
触手3 Tentacle3
G弹匣大型LOD5 GMagLargeLod5
G殖民地建筑倾斜01废墟碎石 GColonyBuildingAngled01Rubble
G弹药箱02LOD5 GAmmoBox02Lod5
G手枪纳乔阴影 GPistolNachoShadow
荒原长苔枕头02 MoorMossyPillow02
C触手2胶囊 CTentacle2Capsule
GIl雕像中型LOD1 GIlStatueMediumLod1
G虫族洞穴屋顶01 GBugCaveRoof01
G遗物样本01阴影LOD2 GArtifactSample01ShadowLod2
G箱防水布02LOD1 GCrateTarp02Lod1
BridgeGalaxyTable01 BridgeGalaxyTable01
腰带01 Belt01
GGreenCorpBiosphere01ShadowLod1 GGreenCorpBiosphere01ShadowLod1
GHabs箱中型012堆叠LOD5 GHabsCrateMedium012stackLod5
G轮胎堆叠04LOD4 GTireStack04Lod4
FxSarcophagus FxSarcophagus
命中前 HitFront
GBugSamplePickup01Lod2 GBugSamplePickup01Lod2
C巢穴领主头部09 CHiveLordHead09
ChaScavenger ChaScavenger
GHabs尸体05LOD1 GHabsCorpse05Lod1
G背包轻机枪LOD2 GBackpackLmgLod2
G喷气步枪LOD1 GJetRifleLod1
GSeChainfenceWallBarbedwireFullDebris04 GSeChainfenceWallBarbedwireFullDebris04
GHabs容器大型02 GHabsContainerLarge02
炮塔后方 TurretRear
头部 Head
GCy障碍栅栏01碎片05 GCyBarrierFence01Debris05
G冰冰柱02LOD5 GIceIcicle02Lod5
GCctvCamera01Shadow GCctvCamera01Shadow
GHabs平板LOD2 GHabsTabletLod2
Cy网络塔 CyNetworkTower
GSe碉堡墙45LOD1 GSePillboxWall45Lod1
Cy战壕墙中型3mX6 CyTrenchWallMedium3mX6
G弹药箱关闭01 GAmmocrateClosed01
GSe大型墙柱阴影LOD1 GSeWallbigPillarShadowLod1
G轮胎堆叠04碎片07 GTireStack04Debris07
G喷火器LOD1 GFlamerLod1
G杆阴影LOD1 GPoleShadowLod1
G大型箱01LOD5 GLargeCrate01Lod5
Se轰炸机已摧毁左门 SeBomberDestroyedLeftDoor
装填喷火器手枪单手 ReloadFlamerpistolOnehand
V倾斜遮罩V低 VSkewMaskVLow
G碎片22 GDebris22
L爪剔除 LClawCull
G沙质通用岩石小型06LOD3 GSandyGenericRockSmall06Lod3
G城市车辆废墟碎石08LOD3 GCityCarRubble08Lod3
C自动售货机器自由01 CVendingMachineFreedom01
G沙袋02LOD3 GSandbag02Lod3
超级地面缓存翼L SuperEarthCacheWingL
UV指数V UvExpV
GBugIdol01 GBugIdol01
G无人机气体背包阴影LOD1 GDroneGasBackpackShadowLod1
GHabs墙天气3m01阴影 GHabsWallWeather3m01Shadow
GIlCircularPlatform01ShadowLod2 GIlCircularPlatform01ShadowLod2
武器瞄准R WeaponAimR
循环 Loop
C碰撞35 CCollision35
G殖民地墙分段2m5受损阴影 GColonyWallSegment2m5DamagedShadow
下部完成 LowerDone
特效02 Vfx02
LUppelEyelidJnt LUppelEyelidJnt
GIl废墟碎石堆02阴影LOD2 GIlRubblePile02ShadowLod2
GCy障碍栅栏角落01阴影 GCyBarrierFenceCorner01Shadow
骨骼生物14 BoneCreature14
G虫族尸体战士02LOD5 GBugCorpseWarrior02Lod5
G殖民地标志01阴影 GColonySign01Shadow
GCy爆炸物电池3x2LOD2 GCyExplosiveBattery3x2Lod2
G日志大型01LOD4 GLogLarge01Lod4
GAssaultRifleKarbinShadowLod1 GAssaultRifleKarbinShadowLod1
L前腿膝盖活塞结束 LFrontLegKneePistonEnd
G腿部髋部内衣套件男性阴影 GLegsHipsUndergarmentKitMaleShadow
半机械人炮艇生成器 CyborgGunshipSpawner
G战斗步行机LOD3 GCombatWalkerLod3
G殖民地半机械人生成器阴影 GColonyCyborgSpawnerShadow
GMacheteSheathShadowLod1 GMacheteSheathShadowLod1
CL箱03 CLBox03
牙齿排结束 ToothRowEnd
GShoulderMountedCameraLod1 GShoulderMountedCameraLod1
G孢子集群04LOD4 GSporeCluster04Lod4
G箱062堆叠LOD1 GBox062stackLod1
G沙袋堆01 GSandbagPile01
CIl遭遇舰船已着陆废墟碎石1 CIlEncounterShipLandedRubble1
LTuskRoot LTuskRoot
Phong1 Phong1
G半机械人精英女性装甲阴影LOD2 GCyborgEliteFemaleArmorShadowLod2
腿左树桩 LegLeftStump
GTargetDesignatorShadowLod3 GTargetDesignatorShadowLod3
幂关闭 PowerOff
MissionExtractCity MissionExtractCity
G无人机喷火器阴影LOD2 GDroneFlamethrowerShadowLod2
Cy电缆组02 CyCableSet02
ThrowingKnife ThrowingKnife
MinorTauntDone MinorTauntDone
LKneeHydraulicsStart LKneeHydraulicsStart
CCyArtilleryShellLoaded01 CCyArtilleryShellLoaded01
TwistLeft TwistLeft
CIl遭遇舰船已着陆废墟碎石21 CIlEncounterShipLandedRubble21
GIl生成器阴影LOD1 GIlSpawnerShadowLod1
G箱体032x2LOD2 GCase032x2Lod2
C掩体门03 CBunkerDoor03
碰撞3 Collision3
LTuskSkin LTuskSkin
M玻璃01 MGlass01
G海报宣传06 GPosterPropaganda06
材质2迷彩 Material2Camo
CL后方 CLRear
G弹道护盾阴影 GBallisticShieldShadow
G战壕地面01阴影 GTrenchFloor01Shadow
SubPipe03 SubPipe03
HealthyIdle HealthyIdle
底部渐变幂 BottomGradPow
运动测试 LocomotionTest
Dof Dof
FxBurst FxBurst
命中光照后 HitLightBack
CNavMesh CNavMesh
LrLegWhole LrLegWhole
GCy战壕墙中型3mX4 GCyTrenchWallMedium3mX4
G箱变化02LOD5 GBoxVariation02Lod5
CFoodTray01 CFoodTray01
G战壕地面1x2 GTrenchFloor1x2
过场动画撤离03 CutsceneExtraction03
虹彩4 Iris4
G殖民地建筑小型04LOD2 GColonyBuildingSmall04Lod2
瞄准喷火器循环 AimFlamethrowerLoop
C碰撞箱02 CCollisionBox02
GProspectingDrill01Lod3 GProspectingDrill01Lod3
G通用碎片小型011阴影LOD1 GGenericDebrisSmall011ShadowLod1
G沼泽英雄树大型根部02LOD5 GSwampHeroTreeLargeRoot02Lod5
GHellbombLod2 GHellbombLod2
下部护盾 LowerShield
GFoodTray01Lod1 GFoodTray01Lod1
G地面舱门阴影 GGroundHatchShadow
GCy容器小型01碎片16 GCyContainerSmall01Debris16
后腿板L完整 BacklegplateLWhole
GLatLOD5 GLatLod5
GSeFlagVertical01Lod1 GSeFlagVertical01Lod1
G鲸骨骼04阴影LOD1 GWhaleBone04ShadowLod1
轮胎堆叠05 TireStack05
G荒原松树02碎肉16 GMoorPinetree02Gibs16
GreenCorpBiosphere01Debris06 GreenCorpBiosphere01Debris06
GAa炮塔残骸阴影LOD1 GAaTurretWreckShadowLod1
Cycle Cycle
MCollissionArmor MCollissionArmor
G水容器01 GWaterContainer01
GMarquee01Lod3 GMarquee01Lod3
弹药08 Ammo08
WobbleSpin WobbleSpin
G受损LOD3 GDamagedLod3
G走私者缓存LOD5 GSmugglerCacheLod5
光照1颜色 Light1Color
阴影网格1 ShadowMesh1
C洪水光照01 CFloodLight01
G殖民地建筑倾斜01废墟碎石LOD2 GColonyBuildingAngled01RubbleLod2
GHabs球形油坦克01LOD4 GHabsSphericalOilTank01Lod4
G头盔低阴影 GHelmetLowShadow
MHellpadScreen MHellpadScreen
GHabs箱中型01碎片02 GHabsCrateMedium01Debris02
GJetRifleDrumMagazineErgoLod2 GJetRifleDrumMagazineErgoLod2
FlangeLTop FlangeLTop
GSe中型墙墙第三 GSeWallmedWallThird
C碰撞2胶囊 CCollision2Capsule
G碎片11 GDebris11
G脚手架坡道01LOD4 GScaffoldingRamp01Lod4
G极地岩石通用大型04LOD3 GArcticRockGenericLarge04Lod3
G腐蚀飞镖LOD5 GCausticDartLod5
ReloadCricket ReloadCricket
G根部墙01LOD4 GRootWall01Lod4
G半机械人炮塔高阴影LOD2 GCyborgTurretTallShadowLod2
胡须53 Beard53
G通用碎片小型09LOD2 GGenericDebrisSmall09Lod2
FlagWave FlagWave
M垃圾袋01 MTrashbag01
GIl雕像中型LOD3 GIlStatueMediumLod3
L翼3 LWing3
MIncendiaryImpactGrenade MIncendiaryImpactGrenade
GHabs通风墙02阴影LOD2 GHabsVentilationWall02ShadowLod2
G沙质岩石酸巨型01LOD4 GSandyRockAcidMassive01Lod4
GSe驱逐舰舰船中心 GSeDestroyerShiphub
M碎肉3 MGibs3
RSeatstrap3 RSeatstrap3
装填左 ReloadLeft
C通用碎片大型0408 CGenericDebrisLarge0408
GHangarDiagonalElevator01Lod1 GHangarDiagonalElevator01Lod1
G殖民地广告牌01 GColonyBillboard01
C碰撞01金属度 CCollision01Metal
绘制喷火器 DrawFlamethrower
G箱阴影 GBoxShadow
面板6 Panel6
特大肘部90向下锐度 XlElbow90DownSharp
StratagemInput StratagemInput
旗帜03 Flag03
GSeismicProbeLod1 GSeismicProbeLod1
G虫族岩石巨型01LOD1 GBugRockMassive01Lod1
G虫族岩石墙01LOD3 GBugRockWall01Lod3
C导航悬挑04 CNavigationOverhang04
G鹰式阴影 GEagleShadow
R前腿脚趾后 RFrontLegToeBack
G腿部髋部女性LOD1 GLegsHipsFemaleLod1
R手臂1 RArm1
C掩体门04 CBunkerDoor04
L大腿 LThigh
ActionJumpLand ActionJumpLand
Se链式围栏墙完整碎片01 SeChainfenceWallFullDebris01
G标志手雷虫族碎片04 GSignGrenadeBugDebris04
舱钩基础05 PodHookBase05
根部小型01 RootSmall01
GPlatformKitSquareThin8mLod1 GPlatformKitSquareThin8mLod1
G殖民地管道预制件04LOD1 GColonyPipesPrefab04Lod1
躯干左 TorsoLeft
GCryoChamber GCryoChamber
G沙质方形岩石巨型02阴影LOD1 GSandySquareRockMassive02ShadowLod1
眼睛L EyeL
GIl电缆005阴影 GIlCables005Shadow
G虫族集群02LOD1 GBugCluster02Lod1
G护盾生成器背包LOD1 GShieldGeneratorBackpackLod1
GHabs天线屋顶01LOD1 GHabsAntennaRoof01Lod1
M屏幕02 MScreen02
GJetRifleDrumMagazineErgoLod1 GJetRifleDrumMagazineErgoLod1
GCy弹药箱堆叠X2 GCyAmmocrateStackX2
G冰墙06阴影 GIceWall06Shadow
G轮胎堆叠04LOD1 GTireStack04Lod1
M激光脉冲炮 MLaserPulseCannon
G根部小型01 GRootSmall01
C导航体积01 CNavigationVolume01
G管道堆01LOD4 GPipesPile01Lod4
C六边形15 CHex15
G真理发射器塔 GTruthTransmitterTower
G树桩巨大01阴影LOD1 GStumpHuge01ShadowLod1
G背包LOD4 GBackpackLod4
CR后角翼片2 CRBackCornerflap2
C脚02 CFoot02
G大型太阳面板01LOD3 GLargeSolarPanel01Lod3
G迷你机枪阴影 GMinigunShadow
ExpendableMassiveRocketLauncherProjectile ExpendableMassiveRocketLauncherProjectile
C右 CRight
CHabs地面板01 CHabsGroundplate01
附加4 Attach4
G沙质方形岩石中型01 GSandySquareRockMedium01
G走私者缓存02LOD1 GSmugglerCache02Lod1
R头部0167关节 RHead0167Jnt
G罐装食物小型02 GCannedFoodSmall02
GHabs着陆垫坡道01LOD1 GHabsLandingPadRamp01Lod1
G弹匣小型阴影 GMagSmallShadow
G无人机机枪阴影LOD3 GDroneMgShadowLod3
GSarcophagusShadowLod1 GSarcophagusShadowLod1
GSe教学墙柱01 GSeTutorialWallPillar01
附加元素01 AddElement01
GSuperSyringeLod5 GSuperSyringeLod5
G坡道01 GRamp01
GCyArtilleryShellLoaded01Lod3 GCyArtilleryShellLoaded01Lod3
G废墟掩体直线2m04LOD1 GRuinCoverStraight2m04Lod1
L头部044关节 LHead044Jnt
前铰链 FrontHinge
CLfWing01 CLfWing01
Extract Extract
G智能手枪弹匣标准LOD1 GSmartPistolMagazineStandardLod1
G平台套件地面角落阴影 GPlatformKitFloorCornerShadow
GetUp GetUp
特效破坏 FxDestruction
G半机械人冷却管道附件01 GCyborgCoolingPipeAttachment01
G游戏切片03LOD2 GGameSlice03Lod2
CIl遭遇舰船已着陆子弹 CIlEncounterShipLandedBullet
LfWing01 LfWing01
L脚 LFoot
G等离子步枪充能LOD5 GPlasmaRifleChargeLod5
G殖民地建筑小型05LOD3 GColonyBuildingSmall05Lod3
GTargetDesignatorShadowLod1 GTargetDesignatorShadowLod1
G尸体旧躺卧02LOD3 GCorpsesOldLying02Lod3
大型 Large
C碰撞05金属度 CCollision05Metal
发射器出口 LauncherExit
左舱门 LeftHatch
Ui3dCamera Ui3dCamera
C天气叶片高27 CWeatherVaneTall27
枪套结束 HolsterEnd
M沼泽虫族01 MSwampBug01
G着陆区域信标阴影LOD2 GLandingzoneBeaconShadowLod2
子弹缩放 BulletScale
GIl平台楼梯左6r GIlPlatformStairsLeft6r
G冲锋枪防御者阴影LOD3 GSmgDefenderShadowLod3
DebugSwitchOld DebugSwitchOld
完成 Done
Gut02 Gut02
RLandingGearHavok RLandingGearHavok
GGeneration GGeneration
AntennaTelescope4 AntennaTelescope4
地狱舱发射器 HellpodLauncher
子弹011 Bullet011
G地狱舱优化已着陆阴影 GHellpodOptimizedLandedShadow
G殖民地电视05 GColonyTv05
G弹药箱关闭01LOD2 GAmmocrateClosed01Lod2
GCyborgCoolingPipeValveShadowLod1 GCyborgCoolingPipeValveShadowLod1
L下部索引手指1 LLowerIndexFinger1
G废墟掩体直线1m02LOD1 GRuinCoverStraight1m02Lod1
G机库箱大型01LOD2 GHangarCrateLarge01Lod2
GSe殖民地废墟碎石小型01LOD4 GSeColonyRubbleSmall01Lod4
G旗帜 GFlag
G虫族羊肚菌集群03阴影 GBugMorelCluster03Shadow
近战右低 MeleeRightLow
GPlantSample01Lod5 GPlantSample01Lod5
CIl遭遇舰船已着陆废墟碎石22 CIlEncounterShipLandedRubble22
GHabs栅栏3x阴影 GHabsFence3xShadow
GSe中型墙柱顶部阴影 GSeWallmedPillarTopShadow
下部下颌 LowerJaw
G受损LOD1 GDamagedLod1
MShells MShells
G极地岩石巨型01阴影 GArcticRockMassive01Shadow
Cy地雷01 CyMine01
绘制刀 DrawKnife
L钳制41 LClamp41
GHabsParkbench01Debris1 GHabsParkbench01Debris1
M战斗步行机残骸 MCombatWalkerWreck
ShipVideoTextureY ShipVideoTextureY
G岩石柱06 GRockPillar06
C前翼 CFrontWing
GIas受损阴影LOD2 GIasDamagedShadowLod2
GAssaultRifleLargeCalibre01ShadowLod1 GAssaultRifleLargeCalibre01ShadowLod1
CIlTeslatower3 CIlTeslatower3
后身体 BackBody
C木桶已摧毁 CBarrelsDestroyed
M火炮锁特效 MArtilleryLockFx
L盖外部盖2 LLidOuterLid2
光照2半径衰减强度 Light2RadiusFallofIntensity
危险区域数量 DangerZoneAmount
G喷火器手枪阴影LOD1 GFlamerPistolShadowLod1
FlightLocomotionExit FlightLocomotionExit
